CCOC(=O)c1cnc2c(c1NCCOC(=O)C)ccc1c2cccc1,0
Brc1ccc(c(c1)C(=O)NCCc1ccccn1)n1cnnn1,1
COc1ccc(c(c1)C(P(=O)(c1ccc(cc1)N(C)C)OCCC(C)C)Nc1ccccc1)OC,0
N#C/C(=C\1/SC(C(=O)N1c1ccccc1)Cc1ccccc1Cl)/C(=O)Nc1ccccc1F,0
CC(CCn1c2c(=O)n(C)c(=O)n(c2n2c1nnc2c1ccc(cc1)Cl)C)C,0
COCC(=O)/N=C/1\SC2C(N1c1ccc(c(c1)Cl)OC)CS(=O)(=O)C2,1
Fc1ccc(cc1)C1=N/C(=C\c2ccc(cc2)Br)/C(=O)O1,1
CCn1c(SCC(=O)Nc2cccc(c2)C)nnc1c1cccnc1,1
CCOc1cccc(c1)C1N(c2nccs2)C(=O)c2c1c(=O)c1c(o2)ccc(c1)C,0
Cn1c(=O)c([N+](=O)O)c(N2CCOCC2)c2ccccc21,1
COc1ccc(cc1)C(=O)N/N=C(/CC(=O)Nc1cccc(c1)C(F)(F)F)\C,0
CCOc1cc(ccc1O)C1N(CCN1c1ccc(cc1)C)c1ccc(cc1)C,1
COc1cc(ccc1OC)C1N(c2ccc(cc2)F)C(=O)C(=C1C(=O)C)O,1
O=C(Nc1ccc(cc1)N(C)C)CCCCCn1cnc2c(c1=O)cccc2,1
Fc1ccc(cc1)C(=O)Nc1cc(ccc1C)c1nnc2n1nc(C)c1c2cccc1,0
O=C(Nc1ccccc1F)Nc1nnc(s1)CSCc1cccc(c1)C,1
CCN(c1ccc2c(c1)C(=O)N(C2=O)C)CC,1
CN(CC(Sc1nc2ccccc2c(=O)n1OC(CN(C)C)C)C)C,0
Fc1ccc(cc1)C1C(=C(C)N=c2n1c(=O)/c(=C\c1ccc3c(c1)OCO3)/s2)C(=O)Nc1ccccc1,0
O=C(c1ccc2c(c1)[nH]cn2)N/N=C/c1ccccc1O,0
Fc1ccc(cc1)c1ccc(o1)CNc1ccc2c(c1)[nH]c(=O)[nH]2,0
CCOc1ccccc1/C=N/NC(=O)CN1CCN(CC1)Cc1ccccc1,0
